,,Crop,N,P,K,pH,rainfall,temperature
,,rice,80,40,40,5.5,98.94,25.574
,,wheat,60,30,30,6.4,98.94,25.574
,,banana,100,75,50,6.48,942.8,28.99454545
,,coriander,10,20,20,6.32,942.8,28.99454545
,,potato,180,60,90,4.94,942.8,28.99454545
,,sunflower,50,60,30,5.68,942.8,28.99454545
,,sweetpotato,90,20,120,5,942.8,28.99454545
,,turmeric,25,60,100,5.04,942.8,28.99454545
,,cotton,120,40,20,5.6,770.44,28.68
,,jowar,80,40,40,5.68,770.44,28.68
,,maize,80,40,20,5.52,770.44,28.68
,,moong,20,40,20,5.52,770.44,28.68
,,onion,120,60,65,5.82,770.44,28.68
,,rice,80,40,40,5.44,770.44,28.68
,,sesamum,30,15,30,6.32,770.44,28.68
,,soyabean,20,60,20,5.6,770.44,28.68
,,horsegram,20,60,20,6.14,98.94,25.574
,,jowar,80,40,40,5.38,98.94,25.574
,,maize,80,40,20,5.5,98.94,25.574
,,moong,20,40,20,5.62,98.94,25.574
,,onion,120,60,65,5.84,98.94,25.574
,,rice,80,40,40,5.36,98.94,25.574
,,sesamum,30,15,30,6.4,98.94,25.574
,,banana,100,75,50,6.58,942.8,28.99454545
,,coriander,10,20,20,6.6,942.8,28.99454545
,,sunflower,50,60,30,5.4,942.8,28.99454545
,,sweetpotato,90,20,120,4.9,942.8,28.99454545
,,turmeric,25,60,100,5.06,942.8,28.99454545
,,cotton,120,40,20,5.58,770.44,28.68
,,jowar,80,40,40,5.34,770.44,28.68
,,maize,80,40,20,5.58,770.44,28.68
,,moong,20,40,20,5.64,770.44,28.68
,,rice,80,40,40,5.4,770.44,28.68
,,sesamum,30,15,30,6.42,770.44,28.68
,,soyabean,20,60,20,5.36,770.44,28.68
,,horsegram,20,60,20,6.04,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.56,98.94,25.574
,,moong,20,40,20,5.64,98.94,25.574
,,onion,120,60,65,5.96,98.94,25.574
,,rice,80,40,40,5.38,98.94,25.574
,,sesamum,30,15,30,6.58,98.94,25.574
,,wheat,60,30,30,6.1,98.94,25.574
,,banana,100,75,50,6.32,942.8,28.99454545
,,cashewnuts,70,40,60,5.86,942.8,28.99454545
,,coriander,10,20,20,6.64,942.8,28.99454545
,,garlic,50,10,60,5.58,942.8,28.99454545
,,sunflower,50,60,30,5.52,942.8,28.99454545
,,turmeric,25,60,100,5.1,942.8,28.99454545
,,cotton,120,40,20,5.42,770.44,28.68
,,jowar,80,40,40,5.56,770.44,28.68
,,maize,80,40,20,5.56,770.44,28.68
,,moong,20,40,20,5.4,770.44,28.68
,,rice,80,40,40,5.34,770.44,28.68
,,sesamum,30,15,30,6.64,770.44,28.68
,,soyabean,20,60,20,5.52,770.44,28.68
,,horsegram,20,60,20,5.98,98.94,25.574
,,jowar,80,40,40,5.36,98.94,25.574
,,maize,80,40,20,5.6,98.94,25.574
,,moong,20,40,20,5.44,98.94,25.574
,,onion,120,60,65,5.9,98.94,25.574
,,rapeseed,50,40,20,4.98,98.94,25.574
,,rice,80,40,40,5.34,98.94,25.574
,,sesamum,30,15,30,6.64,98.94,25.574
,,wheat,60,30,30,6.9,98.94,25.574
,,coriander,10,20,20,6.66,942.8,28.99454545
,,garlic,50,10,60,5.4,942.8,28.99454545
,,ginger,40,50,20,5.08,942.8,28.99454545
,,sunflower,50,60,30,5.42,942.8,28.99454545
,,turmeric,25,60,100,5.02,942.8,28.99454545
,,cotton,120,40,20,5.52,770.44,28.68
,,jowar,80,40,40,5.38,770.44,28.68
,,maize,80,40,20,5.56,770.44,28.68
,,moong,20,40,20,5.5,770.44,28.68
,,rice,80,40,40,5.62,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,soyabean,20,60,20,5.48,770.44,28.68
,,horsegram,20,60,20,6.06,98.94,25.574
,,jowar,80,40,40,5.62,98.94,25.574
,,maize,80,40,20,5.66,98.94,25.574
,,moong,20,40,20,5.36,98.94,25.574
,,onion,120,60,65,5.94,98.94,25.574
,,rice,80,40,40,5.68,98.94,25.574
,,sesamum,30,15,30,6.34,98.94,25.574
,,banana,100,75,50,6.46,942.8,28.99454545
,,cashewnuts,70,40,60,6.06,942.8,28.99454545
,,sunflower,50,60,30,5.48,942.8,28.99454545
,,tapioca,50,50,50,5.42,942.8,28.99454545
,,turmeric,25,60,100,4.84,942.8,28.99454545
,,cotton,120,40,20,5.64,770.44,28.68
,,horsegram,20,60,20,5.92,770.44,28.68
,,jowar,80,40,40,5.42,770.44,28.68
,,maize,80,40,20,5.54,770.44,28.68
,,moong,20,40,20,5.6,770.44,28.68
,,onion,120,60,65,5.96,770.44,28.68
,,ragi,50,40,20,5.5,770.44,28.68
,,rice,80,40,40,5.68,770.44,28.68
,,sesamum,30,15,30,6.36,770.44,28.68
,,horsegram,20,60,20,5.88,98.94,25.574
,,jowar,80,40,40,5.66,98.94,25.574
,,maize,80,40,20,5.36,98.94,25.574
,,onion,120,60,65,5.86,98.94,25.574
,,ragi,50,40,20,5.58,98.94,25.574
,,rice,80,40,40,5.56,98.94,25.574
,,wheat,60,30,30,6.3,98.94,25.574
,,coriander,10,20,20,6.6,942.8,28.99454545
,,sunflower,50,60,30,5.56,942.8,28.99454545
,,turmeric,25,60,100,4.88,942.8,28.99454545
,,cotton,120,40,20,5.68,770.44,28.68
,,jowar,80,40,40,5.42,770.44,28.68
,,maize,80,40,20,5.54,770.44,28.68
,,moong,20,40,20,5.54,770.44,28.68
,,onion,120,60,65,6.14,770.44,28.68
,,ragi,50,40,20,5.44,770.44,28.68
,,rice,80,40,40,5.32,770.44,28.68
,,sesamum,30,15,30,6.46,770.44,28.68
,,soyabean,20,60,20,5.58,770.44,28.68
,,horsegram,20,60,20,5.88,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.36,98.94,25.574
,,moong,20,40,20,5.68,98.94,25.574
,,onion,120,60,65,6,98.94,25.574
,,rapeseed,50,40,20,5.08,98.94,25.574
,,rice,80,40,40,5.42,98.94,25.574
,,sesamum,30,15,30,6.54,98.94,25.574
,,wheat,60,30,30,6.12,98.94,25.574
,,banana,100,75,50,6.36,942.8,28.99454545
,,coriander,10,20,20,6.46,942.8,28.99454545
,,garlic,50,10,60,5.36,942.8,28.99454545
,,ginger,40,50,20,5.12,942.8,28.99454545
,,potato,180,60,90,4.92,942.8,28.99454545
,,sunflower,50,60,30,5.34,942.8,28.99454545
,,turmeric,25,60,100,5.16,942.8,28.99454545
,,cotton,120,40,20,5.46,770.44,28.68
,,jowar,80,40,40,5.52,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.32,770.44,28.68
,,rice,80,40,40,5.38,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,horsegram,20,60,20,6.16,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.36,98.94,25.574
,,moong,20,40,20,5.5,98.94,25.574
,,onion,120,60,65,5.94,98.94,25.574
,,rice,80,40,40,5.48,98.94,25.574
,,coriander,10,20,20,6.34,942.8,28.99454545
,,sunflower,50,60,30,5.58,942.8,28.99454545
,,turmeric,25,60,100,4.88,942.8,28.99454545
,,cotton,120,40,20,5.56,770.44,28.68
,,horsegram,20,60,20,6,770.44,28.68
,,jowar,80,40,40,5.36,770.44,28.68
,,maize,80,40,20,5.4,770.44,28.68
,,moong,20,40,20,5.58,770.44,28.68
,,rice,80,40,40,5.68,770.44,28.68
,,soyabean,20,60,20,5.38,770.44,28.68
,,horsegram,20,60,20,6.06,98.94,25.574
,,jowar,80,40,40,5.42,98.94,25.574
,,maize,80,40,20,5.48,98.94,25.574
,,moong,20,40,20,5.42,98.94,25.574
,,onion,120,60,65,5.82,98.94,25.574
,,rapeseed,50,40,20,5.02,98.94,25.574
,,rice,80,40,40,5.52,98.94,25.574
,,sesamum,30,15,30,6.5,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
,,banana,100,75,50,6.62,942.8,28.99454545
,,coriander,10,20,20,6.36,942.8,28.99454545
,,garlic,50,10,60,5.36,942.8,28.99454545
,,ginger,40,50,20,4.9,942.8,28.99454545
,,sunflower,50,60,30,5.5,942.8,28.99454545
,,turmeric,25,60,100,4.86,942.8,28.99454545
,,cotton,120,40,20,5.52,770.44,28.68
,,horsegram,20,60,20,5.88,770.44,28.68
,,jowar,80,40,40,5.54,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.38,770.44,28.68
,,onion,120,60,65,5.98,770.44,28.68
,,ragi,50,40,20,5.44,770.44,28.68
,,rice,80,40,40,5.32,770.44,28.68
,,sesamum,30,15,30,6.38,770.44,28.68
,,soyabean,20,60,20,5.48,770.44,28.68
,,horsegram,20,60,20,6.16,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.62,98.94,25.574
,,onion,120,60,65,5.86,98.94,25.574
,,ragi,50,40,20,5.5,98.94,25.574
,,rice,80,40,40,5.44,98.94,25.574
,,sesamum,30,15,30,6.34,98.94,25.574
,,wheat,60,30,30,7,98.94,25.574
,,banana,100,75,50,6.46,942.8,28.99454545
,,coriander,10,20,20,6.44,942.8,28.99454545
,,ginger,40,50,20,5.04,942.8,28.99454545
,,potato,180,60,90,5.16,942.8,28.99454545
,,sunflower,50,60,30,5.56,942.8,28.99454545
,,sweetpotato,90,20,120,4.86,942.8,28.99454545
,,turmeric,25,60,100,4.94,942.8,28.99454545
,,cotton,120,40,20,5.34,770.44,28.68
,,jowar,80,40,40,5.46,770.44,28.68
,,maize,80,40,20,5.36,770.44,28.68
,,moong,20,40,20,5.62,770.44,28.68
,,onion,120,60,65,5.82,770.44,28.68
,,rice,80,40,40,5.62,770.44,28.68
,,sesamum,30,15,30,6.38,770.44,28.68
,,soyabean,20,60,20,5.36,770.44,28.68
,,horsegram,20,60,20,6.18,98.94,25.574
,,jowar,80,40,40,5.48,98.94,25.574
,,maize,80,40,20,5.4,98.94,25.574
,,moong,20,40,20,5.62,98.94,25.574
,,onion,120,60,65,5.82,98.94,25.574
,,rice,80,40,40,5.32,98.94,25.574
,,sesamum,30,15,30,6.32,98.94,25.574
,,wheat,60,30,30,6.1,98.94,25.574
,,banana,100,75,50,6.5,942.8,28.99454545
,,coriander,10,20,20,6.58,942.8,28.99454545
,,sunflower,50,60,30,5.64,942.8,28.99454545
,,sweetpotato,90,20,120,5.1,942.8,28.99454545
,,turmeric,25,60,100,4.88,942.8,28.99454545
